Feature,Coefficient
Feature_0,-0.0
Feature_1,-0.0
Feature_2,-0.0
Feature_3,-0.0
Feature_4,-0.0
Feature_5,0.0
Feature_6,0.0
Feature_7,0.0
Feature_8,0.0
Feature_9,0.0
Feature_10,0.0
Feature_11,-0.0
Feature_12,0.0
Feature_13,0.0
Feature_14,-0.0
Feature_15,-0.0
Feature_16,0.0
Feature_17,0.0
Feature_18,0.0
Feature_19,-0.0
Feature_20,-0.0
Feature_21,0.0
Feature_22,0.0
Feature_23,0.0
Feature_24,0.0
Feature_25,0.0
Feature_26,0.0
Feature_27,0.0
Feature_28,0.0
Feature_29,0.0
Feature_30,0.0
Feature_31,0.0
Feature_32,0.0
Feature_33,0.0
Feature_34,-0.0
Feature_35,0.0
Feature_36,0.0
Feature_37,0.0
Feature_38,-0.0
Feature_39,0.0
Feature_40,-0.0
Feature_41,-0.0
Feature_42,-0.0
Feature_43,0.0
Feature_44,0.0
Feature_45,-0.0
Feature_46,0.0
Feature_47,-0.0
Feature_48,-0.0
Feature_49,0.0
Feature_50,-0.0
Feature_51,0.0
Feature_52,0.0
Feature_53,0.0
Feature_54,0.0
Feature_55,-0.0
Feature_56,0.0
Feature_57,0.0
Feature_58,0.0
Feature_59,0.0
Feature_60,0.0
Feature_61,0.0
Feature_62,-0.0
Feature_63,0.0
Feature_64,0.0
Feature_65,0.0
Feature_66,0.0
Feature_67,0.0
Feature_68,0.0
Feature_69,-0.0
Feature_70,0.0
Feature_71,-0.0
Feature_72,-0.0
Feature_73,0.0
Feature_74,0.0
Feature_75,0.0
Feature_76,0.0
Feature_77,0.0
Feature_78,0.0
Feature_79,-0.0
Feature_80,-0.0
Feature_81,-0.0
Feature_82,-0.0
Feature_83,0.0
Feature_84,0.0
Feature_85,0.006733130665930894
Feature_86,0.0
Feature_87,0.0
Feature_88,0.0
Feature_89,0.0
Feature_90,0.0
