Feature,Coefficient
Feature_0,-0.004605448287591278
Feature_1,-0.0012432067835283942
Feature_2,-0.010081689724118352
Feature_3,-0.004105823724908205
Feature_4,-7.445866988821698e-05
Feature_5,0.0
Feature_6,0.0
Feature_7,0.0
Feature_8,0.0
Feature_9,0.0
Feature_10,0.0
Feature_11,0.006568920520787497
Feature_12,0.007718231155538796
Feature_13,0.005800817468104619
Feature_14,-0.009498679712896254
Feature_15,0.0026130309686494386
Feature_16,-0.0002784751835618325
Feature_17,0.001301831520146363
Feature_18,0.00010953808021340663
Feature_19,-0.0004247531689487891
Feature_20,-0.008022380044547755
Feature_21,0.00282615380798522
Feature_22,0.007405189978338443
Feature_23,0.00562305164544075
Feature_24,-0.0002919979632918475
Feature_25,0.004526883171280281
Feature_26,0.0014619426395704358
Feature_27,-0.0011549384788887246
Feature_28,0.010927866868253928
Feature_29,0.0008816129931480086
Feature_30,0.0018759341917144107
Feature_31,0.0020414636227310376
Feature_32,-0.0004809594483961816
Feature_33,0.006356347943764209
Feature_34,-0.008525939318801518
Feature_35,-0.0012276642473867875
Feature_36,0.001759635387896913
Feature_37,0.0020049943453894796
Feature_38,-0.006049365008542799
Feature_39,0.002679367419914546
Feature_40,-0.012025517711884988
Feature_41,-0.006731400449354226
Feature_42,-0.01214650910834189
Feature_43,-0.0021330355713046006
Feature_44,-0.00014354375414958378
Feature_45,-0.002185146776018217
Feature_46,-0.0002444580974622088
Feature_47,-0.011985338232243029
Feature_48,-0.003263568158943808
Feature_49,7.482177810193482e-05
Feature_50,-0.000402756116116878
Feature_51,-0.006425425986324049
Feature_52,0.0021749427032391397
Feature_53,-0.005775102825262923
Feature_54,0.0038458015738295215
Feature_55,-0.004426329312374998
Feature_56,0.042123845654623945
Feature_57,0.0
Feature_58,-0.003293188152652133
Feature_59,0.0028101151992831756
Feature_60,0.002139960296809765
Feature_61,-0.000609022693246555
Feature_62,-0.002128963296239666
Feature_63,1.0700581373063492e-05
Feature_64,0.013700795101612017
Feature_65,0.07469986111775441
Feature_66,0.0353344031398843
Feature_67,0.007177451090817792
Feature_68,-0.00010147172312033398
Feature_69,-0.00666686931292227
Feature_70,0.005680989450512112
Feature_71,-0.00714675281469711
Feature_72,-0.005157390097562855
Feature_73,0.0020849410750413597
Feature_74,-0.07084882951596311
Feature_75,-0.04973115381146068
Feature_76,0.01968141593693405
Feature_77,-6.21620584750991e-06
Feature_78,0.014898701750017578
Feature_79,0.009414096260687434
Feature_80,0.005928806831096647
Feature_81,0.0038586784888943334
Feature_82,-0.0013489188866862302
Feature_83,3.9262682613489575e-05
Feature_84,0.006625723881950639
Feature_85,0.05486368463101431
Feature_86,0.0
Feature_87,0.0
Feature_88,0.0
Feature_89,0.0
Feature_90,0.0
