COLOR,COMPKEY,FEEDERDIAM,FEEDERLEN,INSTDATE,MFGKEY,OUTLSZ1,OUTLSZ2,OUTLSZ3,PRESZONE,UNITTYPE,LONGKEY,PLUGGED,NONSCHE,FZONENUM,DECLREQD,HYMARKER,Letters,FLSHFRE_DAYS
BLUE,1673.0,0.0,1.4,2008-10-16 08:21:00,1012,63,150,63,6,HYBLWF,N,N,N,FZ-C01,N,Y,B,365
BLUE,1696.0,0.0,1.1,2007-01-11 08:44:00,1022,63,150,63,7,HYBLWF,N,N,N,FZ-C01,Y,N,B,365
BLUE,2847.0,0.0,1.1,2008-08-29 11:00:00,1012,63,63,0,6,HYBLWF,N,N,N,FZ-C01,N,N,B,365
ORANGE,2863.0,0.0,3.0,2008-06-12 14:14:00,1009,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,N,B,365
BLUE,2864.0,0.0,1.0,2008-06-13 17:29:00,1022,63,63,0,5,HYBLWF,N,N,N,FZ-C03,Y,N,B,365
GREEN,3677.0,0.0,2.0,2008-09-18 11:20:00,1022,63,150,63,6,HYBLWF,N,N,N,FZ-V04,N,Y,B,365
BLUE,3692.0,0.0,1.2,1982-03-01,1022,63,63,0,5,HYBLWF,N,N,N,FZ-C03,N,Y,B,365
BLUE,3727.0,0.0,1.0,2000-11-23 13:14:00,1022,63,63,0,5,HYBLWF,N,N,N,FZ-C03,N,Y,B,365
BLUE,1266.0,0.0,3.3,2008-10-02 09:20:00,1022,63,150,63,6,HYBLWF,N,N,N,FZ-C02,Y,N,B,365
BLUE,1284.0,0.0,1.2,2008-08-29 09:35:00,1022,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,N,B,365
ORANGE,3901.0,0.0,1.0,2007-09-14 23:00:00,1012,63,63,0,5,HYBLWF,N,N,N,FZ-C02,Y,Y,B,365
BLUE,3916.0,0.0,1.4,2008-10-29 08:33:00,1009,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,Y,B,365
BLUE,3934.0,0.0,1.1,2008-07-17 12:51:00,1012,63,63,0,5,HYBLWF,N,N,N,FZ-C02,Y,N,B,365
BLUE,3940.0,0.0,1.1,2008-08-29 10:16:00,1012,63,63,0,5,HYBLWF,N,N,N,FZ-C02,Y,Y,B,365
BLUE,3338.0,0.0,1.2,1987-11-01,1022,63,150,63,6,HYBLWF,N,N,N,FZ-C01,Y,N,B,365
BLUE,3340.0,0.0,1.2,2000-10-30 03:59:00,1022,63,150,63,6,HYBLWF,N,N,N,FZ-C01,N,N,B,365
BLUE,1893.0,0.0,1.4,2008-10-15 08:08:00,1022,63,150,63,6,HYBLWF,N,N,N,FZ-C03,N,Y,B,365
BLUE,2686.0,0.0,1.2,2008-10-31 08:58:00,1004,63,63,0,5,HYBLWF,N,N,N,FZ-C03,N,N,B,365
BLUE,1299.0,0.0,1.2,2008-01-21 07:42:00,1012,63,63,0,7,HYBLWF,N,N,N,FZ-C01,Y,y,B,365
BLUE,1314.0,0.0,1.2,2008-09-18 11:39:00,1022,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,N,B,365
BLUE,2065.0,0.0,1.6,1989-02-01,1012,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,Y,B,365
BLUE,2074.0,0.0,1.0,2005-12-07 10:42:00,1022,63,63,0,6,HYBLWF,N,N,N,FZ-C01,Y,N,B,365
GREEN,2083.0,0.0,1.2,2008-06-13 17:29:00,1022,63,63,0,5,HYBLWF,N,N,N,FZ-C03,N,N,B,365
BLUE,3527.0,0.0,5.4,1990-03-14,1009,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,N,B,365
BLUE,2868.0,0.0,1.0,2008-07-14 10:23:00,1022,63,63,0,5,HYBLWF,N,N,N,FZ-C03,Y,N,B,365
BLUE,2874.0,0.0,1.2,2008-07-04 08:23:00,1022,63,63,0,5,HYBLWF,N,N,Y,FZ-C03,N,N,B,365
BLUE,1701.0,0.0,1.1,2008-07-09 07:25:00,1012,63,150,63,6,HYBLWF,N,N,N,FZ-C03,N,N,B,365
