Feature,Coefficient
FEEDERDIAM,-6.362919038950338e-05
FEEDERLEN,-2.7838642457724194e-05
OUTLSZ1,-0.00035571190347369927
OUTLSZ2,-0.0001724965097075939
OUTLSZ3,0.00013267317741415545
UNITTYPE,-3.2926786297515775e-13
LONGKEY,-1.2184697695261093e-14
PLUGGED,-2.2017110357097636e-14
NONSCHE,4.947431353485854e-15
DECLREQD,5.273559366969494e-16
HYMARKER,1.0443035325380379e-15
COLOR_BLUE,0.014112987096023433
COLOR_GREEN,0.028267615022682685
COLOR_ORANGE,0.059319274689086474
MFGKEY_1.0,-0.09442815088210664
MFGKEY_1001,-0.018328137840466836
MFGKEY_1003,-0.05162581220947098
MFGKEY_1004,0.0011051307324650614
MFGKEY_1005.0,-0.01289222215766425
MFGKEY_1009,-0.02976744789392255
MFGKEY_1012,-0.05948326355973967
MFGKEY_1021,0.06553289827359182
MFGKEY_1022,-0.004183900983669074
MFGKEY_1023.0,0.02694364160090697
MFGKEY_1029,-0.04324400123357321
MFGKEY_1117,0.021407460505272157
MFGKEY_1881,-0.019382052744827037
MFGKEY_1,-0.03127839880117989
MFGKEY_1001.1,0.0029591158879225324
MFGKEY_1003.1,0.02579626865328869
MFGKEY_1004.1,-0.0006833087090583369
MFGKEY_1005,0.16831824140558904
MFGKEY_1007,-0.04393787052899627
MFGKEY_1009.1,0.011221743451117136
MFGKEY_1012.1,-0.05565728569985767
MFGKEY_1022.1,-0.030087942061201467
MFGKEY_1023,0.006741116472616396
MFGKEY_1029.1,0.06287840591784627
MFGKEY_1117.1,-0.061113602640028554
MFGKEY_1289,0.24977715565848896
MFGKEY_1881.1,-0.08658778061428707
PRESZONE_1,-0.13810298322652365
PRESZONE_2,-0.1498187364745943
PRESZONE_2A,-0.17061929633163583
PRESZONE_3,-0.10879729200384904
PRESZONE_4,-0.1130022695279597
PRESZONE_4A,-0.11374743727311318
PRESZONE_5,-0.13798308691393074
PRESZONE_5A,-0.19006961319548224
PRESZONE_5B,-0.10573899576844195
PRESZONE_5D,-0.11196179174967014
PRESZONE_6,-0.12859993711052672
PRESZONE_6A,0.07495652913480705
PRESZONE_7,-0.13516665153547994
PRESZONE_AV12,0.06151996760555634
PRESZONE_AV13,-0.14679549188228264
PRESZONE_CE8,0.5391646428124546
PRESZONE_CE9,-1.3877787807814457e-15
PRESZONE_CT7,-0.14356374526269883
PRESZONE_CV12,0.07089677454830755
PRESZONE_CV13,0.05995378689361727
PRESZONE_IN7,-0.11965941570717756
PRESZONE_IN8,-0.3280340622957763
PRESZONE_MM12,-0.02130818969610427
PRESZONE_PG7,0.5611545942030082
PRESZONE_PG8,0.4713806683346492
PRESZONE_PG9,0.5239420324228968
Letters_B,0.014896284128192381
Letters_C,-0.0008700123020190728
Letters_S,-0.014026271826715443
FZONENUM_FZ-C01,0.10551891037920859
FZONENUM_FZ-C02,0.06198174412595595
FZONENUM_FZ-C03,0.07070767706499015
FZONENUM_FZ-V01,0.02426684746911459
FZONENUM_FZ-V02,-0.4639154033829155
FZONENUM_FZ-V03,-0.4862933617166666
FZONENUM_FZ-V04,0.15864828602148084
FZONENUM_FZ-V05,0.08427717871846652
FZONENUM_FZ-W01,0.13533851404047653
FZONENUM_FZ-W02,0.11317363177588646
FZONENUM_FZ-W03,0.10097693548832015
FZONENUM_FZ-W04,0.09531904001580872
AGE,-4.063432800086085e-07
PHREAD,1.714474749920929e-06
SEASON,0.013252104449573615
FLSHDATE_DELTA,0.0003054325376079025
WW220003993,0.0
WW220004000,0.0
WW220004037,0.0
WW260002590,0.0
WW260094120,0.0
